"Year","Month","Precipitation","NA","SPI"
1993,1,4.423438,-0.133171007540024,-0.133171007540024
1994,1,6.070358,0.801104239627596,0.801104239627596
1995,1,5.065264,0.778722664181382,0.778722664181382
1996,1,6.87924,0.816583136134415,0.816583136134415
1997,1,6.06563,1.44801240223454,1.44801240223454
1998,1,7.367012,1.12932775877836,1.12932775877836
1999,1,8.47,1.46289543881141,1.46289543881141
2000,1,4.4,0.0328816897166534,0.0328816897166534
2001,1,5.31,0.662372148780359,0.662372148780359
2002,1,7.82,1.11124186395331,1.11124186395331
2003,1,1.4,-1.73551585104999,-1.73551585104999
2004,1,3.07,-0.295996340066473,-0.295996340066473
2005,1,3.48,-1.00682392658583,-1.00682392658583
2006,1,7.53,1.31609311556442,1.31609311556442
2007,1,3.22,-0.153317046446692,-0.153317046446692
2008,1,2.29,-1.05543225631423,-1.05543225631423
2009,1,2.41,-0.772070800389827,-0.772070800389827
2010,1,4.96,0.146605166079871,0.146605166079871
2011,1,3.27,-0.44275565128736,-0.44275565128736
2012,1,6.87,0.876107422178711,0.876107422178711
2013,1,8.74,1.74857440738735,1.74857440738735
2014,1,1.7,-1.61287900107477,-1.61287900107477
2015,1,4.17,-0.214688536362549,-0.214688536362549
2016,1,3.65,-0.0157815196979957,-0.0157815196979957
2017,1,4.72,0.115169344094836,0.115169344094836
2018,1,1.78,-1.5234469763832,-1.5234469763832
2019,1,4.85,0.683026544751411,0.683026544751411
2020,1,9.44,1.49689667050535,1.49689667050535
2021,1,2.71,-0.525889993614978,-0.525889993614978
2022,1,5.72,0.48546870039029,0.48546870039029
2023,1,4.32,0.0530870630214198,0.0530870630214198
2024,1,6.45,0.748733049163339,0.748733049163339
1993,2,2.941604,-0.404745736904209,-0.404745736904209
1994,2,7.24763,0.940818299725294,0.940818299725294
1995,2,4.898996,0.0552819883541349,0.0552819883541349
1996,2,2.495596,-0.611957020219989,-0.611957020219989
1997,2,5.129486,0.441539789488688,0.441539789488688
1998,2,6.149552,0.830985633793919,0.830985633793919
1999,2,2.64,-0.520164739455755,-0.520164739455755
2000,2,2.17,-1.13171732346433,-1.13171732346433
2001,2,6.52,1.65353396860525,1.65353396860525
2002,2,1.98,-1.70301098868563,-1.70301098868563
2003,2,6.86,0.985158541900524,0.985158541900524
2004,2,7.66,1.10268394051874,1.10268394051874
2005,2,4.68,0.416200873936155,0.416200873936155
2006,2,3.03,-0.730164153181359,-0.730164153181359
2007,2,1.4,-1.73551585104999,-1.73551585104999
2008,2,2.65,-0.522460805965128,-0.522460805965128
2009,2,4,-0.507910801177559,-0.507910801177559
2010,2,3.31,-0.460102255563709,-0.460102255563709
2011,2,2.08,-0.931609682947888,-0.931609682947888
2012,2,2.79,-0.765076524140714,-0.765076524140714
2013,2,2.76,-0.486704427341404,-0.486704427341404
2014,2,4,-0.335305649046089,-0.335305649046089
2015,2,3.11,-0.527518255796017,-0.527518255796017
2016,2,3.48,-0.363394354209514,-0.363394354209514
2017,2,2.52,-0.652309952049675,-0.652309952049675
2018,2,12.56,2.28724387877425,2.28724387877425
2019,2,14.13,2.25926855248437,2.25926855248437
2020,2,10.9,2.19942508152372,2.19942508152372
2021,2,3.93,-0.572403372794033,-0.572403372794033
2022,2,5.5,0.577997209610743,0.577997209610743
2023,2,4.29,0.420292370732346,0.420292370732346
2024,2,4.85,0.14793891773007,0.14793891773007
1993,3,5.611742,1.2326366852555,1.2326366852555
1994,3,9.498946,1.83701740718009,1.83701740718009
1995,3,5.25596,0.4304385864172,0.4304385864172
1996,3,6.262236,0.690043004352916,0.690043004352916
1997,3,5.121212,0.590713185451144,0.590713185451144
1998,3,5.227198,0.257494329838437,0.257494329838437
1999,3,6.4,0.536062822119243,0.536062822119243
2000,3,3.93,0.10876939019743,0.10876939019743
2001,3,4.25,-0.2836123943619,-0.2836123943619
2002,3,7.54,1.31938943248475,1.31938943248475
2003,3,3.06,-0.249685773292751,-0.249685773292751
2004,3,5.28,0.30321090177636,0.30321090177636
2005,3,2.16,-0.993949998439217,-0.993949998439217
2006,3,2.41,-1.34914036468923,-1.34914036468923
2007,3,1.49,-1.63598188466602,-1.63598188466602
2008,3,4.14,-0.072909956199254,-0.072909956199254
2009,3,6.19,0.976163229519636,0.976163229519636
2010,3,3.89,-0.29893023012642,-0.29893023012642
2011,3,6.97,0.698971712055595,0.698971712055595
2012,3,2.85,-0.41175509080901,-0.41175509080901
2013,3,4.77,0.156004759603919,0.156004759603919
2014,3,2.62,-0.884112748398317,-0.884112748398317
2015,3,6.58,1.38737135501396,1.38737135501396
2016,3,4.52,0.0224159348565646,0.0224159348565646
2017,3,5,0.92381525051718,0.92381525051718
2018,3,4.57,-0.0408700096167669,-0.0408700096167669
2019,3,3.05,-0.560079136113975,-0.560079136113975
2020,3,9.05,1.46748825904998,1.46748825904998
2021,3,6.85,1.19304507753121,1.19304507753121
2022,3,5.13,0.220513584666968,0.220513584666968
2023,3,7.72,0.900603968794111,0.900603968794111
2024,3,5.98,0.878045213247028,0.878045213247028
1993,4,3.710692,-0.779637355058777,-0.779637355058777
1994,4,3.25444,-0.491848529992736,-0.491848529992736
1995,4,6.025836,1.17631948030734,1.17631948030734
1996,4,4.991586,0.20004331908954,0.20004331908954
1997,4,3.290294,-0.0980793099397111,-0.0980793099397111
1998,4,5.10821,0.215265059944394,0.215265059944394
1999,4,3.61,-0.271661981521742,-0.271661981521742
2000,4,8.06,1.21170858748711,1.21170858748711
2001,4,4.84,0.480688616693922,0.480688616693922
2002,4,1.27,-2.00752205103752,-2.00752205103752
2003,4,3.53,-0.479671901672042,-0.479671901672042
2004,4,2.63,-0.533845580446125,-0.533845580446125
2005,4,4.8,0.180369362393839,0.180369362393839
2006,4,6.03,0.785778788879131,0.785778788879131
2007,4,2.5,-0.616866486465539,-0.616866486465539
2008,4,4.05,-0.16749296198062,-0.16749296198062
2009,4,4.53,0.669440381825619,0.669440381825619
2010,4,1.9,-1.77480303446001,-1.77480303446001
2011,4,9.16,1.64991995168037,1.64991995168037
2012,4,0.9,-2.1846855842589,-2.1846855842589
2013,4,4.5,0.341887732594511,0.341887732594511
2014,4,6.6,0.737138219235187,0.737138219235187
2015,4,5.03,0.100867565420304,0.100867565420304
2016,4,3.66,-0.0112245269644239,-0.0112245269644239
2017,4,3.73,-0.761063813871185,-0.761063813871185
2018,4,7.42,1.27964756879704,1.27964756879704
2019,4,6.44,1.33515838314549,1.33515838314549
2020,4,6.67,0.754199691230596,0.754199691230596
2021,4,2.26,-0.903162818195675,-0.903162818195675
2022,4,3.79,-0.450947373309751,-0.450947373309751
2023,4,5.25,0.42818298439795,0.42818298439795
2024,4,3.94,-0.157384529113536,-0.157384529113536
1994,10,1.925478,-1.05631763389582,-1.05631763389582
1995,10,5.270144,0.273688340869241,0.273688340869241
1996,10,5.976192,0.408654445834088,0.408654445834088
1997,10,2.95894,-0.353694699028394,-0.353694699028394
1998,10,5.525062,0.740828312647753,0.740828312647753
1999,10,1.886472,-1.43184454561621,-1.43184454561621
2000,10,1.05,-1.965142174978,-1.965142174978
2001,10,0,-Inf,-Inf
2002,10,4.58,0.697297537436266,0.697297537436266
2003,10,4.97,0.151280452887859,0.151280452887859
2004,10,1.84,-1.34162988461598,-1.34162988461598
2005,10,5.54,0.452906351854725,0.452906351854725
2006,10,0.01,-5.64718857858563,-5.64718857858563
2007,10,3.83,-0.326755520729287,-0.326755520729287
2008,10,5.02,0.0974161278969225,0.0974161278969225
2009,10,2.72,-0.483076723792281,-0.483076723792281
2010,10,9.26,3.05136208121977,3.05136208121977
2011,10,2.87,-0.722427729974401,-0.722427729974401
2012,10,1.74,-1.22096403210732,-1.22096403210732
2013,10,2.39,-0.994007593950645,-0.994007593950645
2014,10,1.81,-1.33698527581982,-1.33698527581982
2015,10,6.94,0.972225741254102,0.972225741254102
2016,10,2.58,-0.831937191172064,-0.831937191172064
2017,10,0.08,-4.33218276019898,-4.33218276019898
2018,10,4.77,0.452650838710281,0.452650838710281
2019,10,3.1,-0.692112045239335,-0.692112045239335
2020,10,7.44,0.826879568250395,0.826879568250395
2021,10,4.19,0.219202596180023,0.219202596180023
2022,10,5.76,0.911949784563749,0.911949784563749
2023,10,1.94,-1.38718906504357,-1.38718906504357
2024,10,0.6,-2.68359585726953,-2.68359585726953
2025,10,0.73,-2.46257979379047,-2.46257979379047
1994,11,3.148848,-0.197321492546886,-0.197321492546886
1995,11,4.572764,-0.0395043202447084,-0.0395043202447084
1996,11,5.58298,0.551704152831682,0.551704152831682
1997,11,6.87924,0.878852162008021,0.878852162008021
1998,11,2.55115,-0.633076818530203,-0.633076818530203
1999,11,2.891566,-0.807258849455672,-0.807258849455672
2000,11,5.9,0.38512257575534,0.38512257575534
2001,11,6.54,1.05712087822632,1.05712087822632
2002,11,3.02,-1.49265221000958,-1.49265221000958
2003,11,3.31,-0.460102255563709,-0.460102255563709
2004,11,4.35,0.449483568216542,0.449483568216542
2005,11,7.05,0.866587868036926,0.866587868036926
2006,11,3.28,-0.105203747922625,-0.105203747922625
2007,11,5.16,0.238944430235311,0.238944430235311
2008,11,3.31,-0.42201249080505,-0.42201249080505
2009,11,2.75,-0.732809094577514,-0.732809094577514
2010,11,1.73,-1.20843558177495,-1.20843558177495
2011,11,5.38,0.314717773412836,0.314717773412836
2012,11,3.86,-0.339267951645879,-0.339267951645879
2013,11,1.56,-1.26015396631274,-1.26015396631274
2014,11,3.29,-1.20179749904338,-1.20179749904338
