"Year","SPI","Classification"
1993,-0.0212293535618775,"Normal"
1994,0.331131808812439,"Normal"
1995,0.372410166369057,"Normal"
1996,0.400590336653953,"Normal"
1997,0.499160697645742,"Normal"
1998,0.41260579354761,"Normal"
1999,0.0247777020891906,"Normal"
2000,-0.314660669415812,"Normal"
2001,-Inf,"Drought"
2002,-0.210500804830082,"Normal"
2003,-0.183327852844809,"Normal"
2004,-0.160987875562825,"Normal"
2005,0.194906629257335,"Normal"
2006,-0.807968612276328,"Normal"
2007,-0.657166295016423,"Normal"
2008,-0.331427393209853,"Normal"
2009,0.128951055456358,"Normal"
2010,0.0106402517246962,"Normal"
2011,-0.152351487441315,"Normal"
2012,-0.447310984109963,"Normal"
2013,-0.0118328751874031,"Normal"
2014,-0.597327302205273,"Normal"
2015,0.283874672896178,"Normal"
2016,0.007098033936562,"Normal"
2017,-0.653668808067649,"Normal"
2018,0.182931182056143,"Normal"
2019,0.631061680323312,"Normal"
2020,1.24256987745047,"Wet"
2021,-0.236105547722197,"Normal"
2022,0.0681263150850943,"Normal"
2023,0.132690554687848,"Normal"
2024,-0.44330812119138,"Normal"
2025,-1.50921544973954,"Drought"
