Growing_Season_Year,Total_PRCP,SPI,Classification
1994,1033.0445176,0.6430442452731879,Normal
1995,991.7931904,0.4140385443511344,Normal
1996,994.2350448,0.4275944373702953,Normal
1997,1134.8918628,1.2084472094371204,Wet
1998,1004.1025384,0.4823735788329697,Normal
1999,977.082374,0.3323718187089681,Normal
2000,758.952,-0.8785734424718541,Normal
2001,940.054,0.1268097358028472,Normal
2002,936.244,0.10565861704531523,Normal
2003,880.11,-0.20596786598232722,Normal
2004,828.294,-0.4936230810847665,Normal
2005,924.814,0.042205260772718016,Normal
2006,796.544,-0.6698824040642022,Normal
2007,572.008,-1.9163883361747713,Drought
2008,799.592,-0.6529615090581764,Normal
2009,999.49,0.4567671884203511,Normal
2010,938.022,0.11552913913216374,Normal
2011,883.666,-0.18622682180863018,Normal
2012,760.222,-0.8715230695526767,Normal
2013,869.95,-0.26237084933574645,Normal
2014,683.26,-1.2987756684548288,Drought
2015,1022.604,0.5850839755493805,Normal
2016,776.478,-0.7812782961872058,Normal
2017,751.84,-0.9180555308192475,Normal
2018,1083.31,0.922091801086061,Normal
2019,1233.932,1.7582660293005046,Wet
2020,1529.842,3.401002919468846,Wet
2021,784.86,-0.7347458349206344,Normal
2022,892.048,-0.13969436054205944,Normal
2023,928.624,0.06335637953025064,Normal
2024,723.646,-1.0745738096249868,Drought
